plot,plant,leaf,FvFm,block,treatment
LA2,3,3,0.721,2,LocalAdmixture
LA2,4,1,0.753,2,LocalAdmixture
LA2,4,2,0.717,2,LocalAdmixture
LA2,4,3,0.719,2,LocalAdmixture
LA2,5,1,0.631,2,LocalAdmixture
LA2,5,2,0.624,2,LocalAdmixture
LA2,5,3,0.79,2,LocalAdmixture
LA2,6,1,0.753,2,LocalAdmixture
LA2,6,2,0.758,2,LocalAdmixture
LA2,6,3,0.73,2,LocalAdmixture
LA2,7,1,0.729,2,LocalAdmixture
LA2,7,2,0.708,2,LocalAdmixture
LA2,7,3,0.75,2,LocalAdmixture
LA2,8,1,0.699,2,LocalAdmixture
LA2,8,2,0.735,2,LocalAdmixture
LA2,8,3,0.745,2,LocalAdmixture
LA2,9,1,0.684,2,LocalAdmixture
LA2,9,2,0.694,2,LocalAdmixture
LA2,9,3,0.719,2,LocalAdmixture
LA2,10,1,0.74,2,LocalAdmixture
LA2,10,2,0.701,2,LocalAdmixture
LA2,10,3,0.708,2,LocalAdmixture
CE2,1,1,0.695,2,CoreEdge
CE2,1,2,0.783,2,CoreEdge
CE2,1,3,0.746,2,CoreEdge
CE2,2,1,0.684,2,CoreEdge
CE2,2,2,0.68,2,CoreEdge
CE2,2,3,0.708,2,CoreEdge
CE2,3,1,0.711,2,CoreEdge
CE2,3,2,0.645,2,CoreEdge
CE2,3,3,0.723,2,CoreEdge
CE2,4,1,0.781,2,CoreEdge
CE2,4,2,0.76,2,CoreEdge
CE2,4,3,0.611,2,CoreEdge
CE2,5,1,0.792,2,CoreEdge
CE2,5,2,0.75,2,CoreEdge
CE2,5,3,0.697,2,CoreEdge
CE2,6,1,0.698,2,CoreEdge
CE2,6,2,0.752,2,CoreEdge
CE2,6,3,0.63,2,CoreEdge
CE2,7,1,0.737,2,CoreEdge
CE2,7,2,0.783,2,CoreEdge
CE2,7,3,0.659,2,CoreEdge
CE2,8,1,0.705,2,CoreEdge
CE2,8,2,0.775,2,CoreEdge
CE2,8,3,0.779,2,CoreEdge
CE2,9,1,0.632,2,CoreEdge
CE2,9,2,0.698,2,CoreEdge
CE2,9,3,0.696,2,CoreEdge
CE2,10,1,0.749,2,CoreEdge
CE2,10,2,0.742,2,CoreEdge
CE2,10,3,0.721,2,CoreEdge
RE2,1,1,0.624,2,RefugiumEdge
RE2,1,2,0.727,2,RefugiumEdge
RE2,1,3,0.589,2,RefugiumEdge
RE2,2,1,0.67,2,RefugiumEdge
RE2,2,2,0.681,2,RefugiumEdge
RE2,2,3,0.703,2,RefugiumEdge
RE2,3,1,0.723,2,RefugiumEdge
RE2,3,2,0.755,2,RefugiumEdge
RE2,3,3,0.748,2,RefugiumEdge
RE2,4,1,0.604,2,RefugiumEdge
RE2,4,2,0.782,2,RefugiumEdge
RE2,4,3,0.769,2,RefugiumEdge
RE2,5,1,0.701,2,RefugiumEdge
RE2,5,2,0.732,2,RefugiumEdge
RE2,5,3,0.738,2,RefugiumEdge
RE2,6,1,0.73,2,RefugiumEdge
RE2,6,2,0.686,2,RefugiumEdge
RE2,6,3,0.7,2,RefugiumEdge
RE2,7,1,0.753,2,RefugiumEdge
RE2,7,2,0.683,2,RefugiumEdge
RE2,7,3,0.759,2,RefugiumEdge
RE2,8,1,0.741,2,RefugiumEdge
RE2,8,2,0.786,2,RefugiumEdge
RE2,8,3,0.688,2,RefugiumEdge
RE2,9,1,0.706,2,RefugiumEdge
RE2,9,2,0.753,2,RefugiumEdge
RE2,9,3,0.787,2,RefugiumEdge
RE2,10,1,0.753,2,RefugiumEdge
RE2,10,2,0.742,2,RefugiumEdge
RE2,10,3,0.769,2,RefugiumEdge
NA3,1,1,0.758,3,NoAdmixture
NA3,1,2,0.628,3,NoAdmixture
NA3,1,3,0.631,3,NoAdmixture
NA3,2,1,0.702,3,NoAdmixture
NA3,2,2,0.697,3,NoAdmixture
NA3,2,3,0.692,3,NoAdmixture
NA3,3,1,0.678,3,NoAdmixture
NA3,3,2,0.732,3,NoAdmixture
NA3,3,3,0.692,3,NoAdmixture
NA3,4,1,0.703,3,NoAdmixture
NA3,4,2,0.717,3,NoAdmixture
NA3,4,3,0.624,3,NoAdmixture
NA3,5,1,0.702,3,NoAdmixture
NA3,5,2,0.695,3,NoAdmixture
NA3,5,3,0.608,3,NoAdmixture
NA3,6,1,0.757,3,NoAdmixture
NA3,6,2,0.76,3,NoAdmixture
NA3,6,3,0.749,3,NoAdmixture
NA3,7,1,0.686,3,NoAdmixture
NA3,7,2,0.695,3,NoAdmixture
NA3,7,3,0.623,3,NoAdmixture
NA3,8,1,0.705,3,NoAdmixture
NA3,8,2,0.717,3,NoAdmixture
NA3,8,3,0.711,3,NoAdmixture
NA3,9,1,0.709,3,NoAdmixture
NA3,9,2,0.738,3,NoAdmixture
NA3,9,3,0.624,3,NoAdmixture
NA3,10,1,0.694,3,NoAdmixture
NA3,10,2,0.684,3,NoAdmixture
NA3,10,3,0.71,3,NoAdmixture
LA3,1,1,0.743,3,LocalAdmixture
LA3,1,2,0.753,3,LocalAdmixture
LA3,1,3,0.79,3,LocalAdmixture
LA3,2,1,0.729,3,LocalAdmixture
LA3,2,2,0.737,3,LocalAdmixture
LA3,2,3,0.689,3,LocalAdmixture
LA3,3,1,0.772,3,LocalAdmixture
LA3,3,2,0.697,3,LocalAdmixture
LA3,3,3,0.729,3,LocalAdmixture
LA3,4,1,0.667,3,LocalAdmixture
LA3,4,2,0.697,3,LocalAdmixture
LA3,4,3,0.726,3,LocalAdmixture
LA3,5,1,0.797,3,LocalAdmixture
LA3,5,2,0.748,3,LocalAdmixture
LA3,5,3,0.723,3,LocalAdmixture
LA3,6,1,0.706,3,LocalAdmixture
LA3,6,2,0.591,3,LocalAdmixture
LA3,6,3,0.71,3,LocalAdmixture
LA3,7,1,0.731,3,LocalAdmixture
LA3,7,2,0.689,3,LocalAdmixture
LA3,7,3,0.717,3,LocalAdmixture
LA3,8,1,0.713,3,LocalAdmixture
LA3,8,2,0.753,3,LocalAdmixture
LA3,8,3,0.736,3,LocalAdmixture
LA3,9,1,0.711,3,LocalAdmixture
LA3,9,2,0.653,3,LocalAdmixture
LA3,9,3,0.651,3,LocalAdmixture
LA3,10,1,0.696,3,LocalAdmixture
LA3,10,2,0.698,3,LocalAdmixture
LA3,10,3,0.706,3,LocalAdmixture
CE3,1,1,0.741,3,CoreEdge
CE3,1,2,0.765,3,CoreEdge
CE3,1,3,0.748,3,CoreEdge
CE3,2,1,0.756,3,CoreEdge
CE3,2,2,0.751,3,CoreEdge
CE3,2,3,0.737,3,CoreEdge
CE3,3,1,0.786,3,CoreEdge
CE3,3,2,0.736,3,CoreEdge
CE3,3,3,0.777,3,CoreEdge
CE3,4,1,0.747,3,CoreEdge
CE3,4,2,0.68,3,CoreEdge
CE3,4,3,0.719,3,CoreEdge
CE3,5,1,0.682,3,CoreEdge
CE3,5,2,0.737,3,CoreEdge
CE3,5,3,0.752,3,CoreEdge
CE3,6,1,0.792,3,CoreEdge
CE3,6,2,0.782,3,CoreEdge
CE3,6,3,0.759,3,CoreEdge
CE3,7,1,0.704,3,CoreEdge
CE3,7,2,0.788,3,CoreEdge
CE3,7,3,0.665,3,CoreEdge
CE3,8,1,0.727,3,CoreEdge
CE3,8,2,0.709,3,CoreEdge
CE3,8,3,0.653,3,CoreEdge
CE3,9,1,0.668,3,CoreEdge
CE3,9,2,0.625,3,CoreEdge
CE3,9,3,0.749,3,CoreEdge
CE3,10,1,0.765,3,CoreEdge
CE3,10,2,0.733,3,CoreEdge
CE3,10,3,0.763,3,CoreEdge
RE3,1,1,0.714,3,RefugiumEdge
RE3,1,2,0.731,3,RefugiumEdge
RE3,1,3,0.608,3,RefugiumEdge
RE3,2,1,0.743,3,RefugiumEdge
RE3,2,2,0.655,3,RefugiumEdge
RE3,2,3,0.716,3,RefugiumEdge
RE3,3,1,0.707,3,RefugiumEdge
RE3,3,2,0.741,3,RefugiumEdge
RE3,3,3,0.726,3,RefugiumEdge
RE3,4,1,0.727,3,RefugiumEdge
RE3,4,2,0.754,3,RefugiumEdge
RE3,4,3,0.73,3,RefugiumEdge
RE3,5,1,0.739,3,RefugiumEdge
RE3,5,2,0.741,3,RefugiumEdge
RE3,5,3,0.768,3,RefugiumEdge
RE3,6,1,0.691,3,RefugiumEdge
RE3,6,2,0.717,3,RefugiumEdge
RE3,6,3,0.69,3,RefugiumEdge
RE3,7,1,0.683,3,RefugiumEdge
RE3,7,2,0.663,3,RefugiumEdge
RE3,7,3,0.723,3,RefugiumEdge
RE3,8,1,0.769,3,RefugiumEdge
RE3,8,2,0.782,3,RefugiumEdge
RE3,8,3,0.772,3,RefugiumEdge
RE3,9,1,0.708,3,RefugiumEdge
RE3,9,2,0.708,3,RefugiumEdge
RE3,9,3,0.792,3,RefugiumEdge
RE3,10,1,0.679,3,RefugiumEdge
RE3,10,2,0.731,3,RefugiumEdge
RE3,10,3,0.702,3,RefugiumEdge
