plot,plant,leaf,FvFm,block,treatment
CE1,6,2,0.604,1,CoreEdge
CE1,6,3,0.72,1,CoreEdge
CE1,7,1,0.737,1,CoreEdge
CE1,7,2,0.704,1,CoreEdge
CE1,7,3,0.765,1,CoreEdge
CE1,8,1,0.78,1,CoreEdge
CE1,8,2,0.785,1,CoreEdge
CE1,8,3,0.767,1,CoreEdge
CE1,9,1,0.764,1,CoreEdge
CE1,9,2,0.78,1,CoreEdge
CE1,9,3,0.767,1,CoreEdge
CE1,10,1,0.704,1,CoreEdge
CE1,10,2,0.639,1,CoreEdge
CE1,10,3,0.755,1,CoreEdge
RE1,1,1,0.768,1,RefugiumEdge
RE1,1,2,0.729,1,RefugiumEdge
RE1,1,3,0.766,1,RefugiumEdge
RE1,2,1,0.783,1,RefugiumEdge
RE1,2,2,0.782,1,RefugiumEdge
RE1,2,3,0.759,1,RefugiumEdge
RE1,3,1,0.759,1,RefugiumEdge
RE1,3,2,0.771,1,RefugiumEdge
RE1,3,3,0.739,1,RefugiumEdge
RE1,4,1,0.78,1,RefugiumEdge
RE1,4,2,0.792,1,RefugiumEdge
RE1,4,3,0.786,1,RefugiumEdge
RE1,5,1,0.787,1,RefugiumEdge
RE1,5,2,0.771,1,RefugiumEdge
RE1,5,3,0.727,1,RefugiumEdge
RE1,6,1,0.77,1,RefugiumEdge
RE1,6,2,0.591,1,RefugiumEdge
RE1,6,3,0.649,1,RefugiumEdge
RE1,7,1,0.643,1,RefugiumEdge
RE1,7,2,0.667,1,RefugiumEdge
RE1,7,3,0.735,1,RefugiumEdge
RE1,8,1,0.759,1,RefugiumEdge
RE1,8,2,0.718,1,RefugiumEdge
RE1,8,3,0.707,1,RefugiumEdge
RE1,9,1,0.734,1,RefugiumEdge
RE1,9,2,0.746,1,RefugiumEdge
RE1,9,3,0.724,1,RefugiumEdge
RE1,10,1,0.74,1,RefugiumEdge
RE1,10,2,0.742,1,RefugiumEdge
RE1,10,3,0.711,1,RefugiumEdge
NA2,1,1,0.819,2,NoAdmixture
NA2,1,2,0.806,2,NoAdmixture
NA2,1,3,0.791,2,NoAdmixture
NA2,2,1,0.772,2,NoAdmixture
NA2,2,2,0.769,2,NoAdmixture
NA2,2,3,0.794,2,NoAdmixture
NA2,3,1,0.775,2,NoAdmixture
NA2,3,2,0.754,2,NoAdmixture
NA2,3,3,0.754,2,NoAdmixture
NA2,4,1,0.726,2,NoAdmixture
NA2,4,2,0.762,2,NoAdmixture
NA2,4,3,0.761,2,NoAdmixture
NA2,5,1,0.772,2,NoAdmixture
NA2,5,2,0.725,2,NoAdmixture
NA2,5,3,0.698,2,NoAdmixture
NA2,6,1,0.764,2,NoAdmixture
NA2,6,2,0.783,2,NoAdmixture
NA2,6,3,0.795,2,NoAdmixture
NA2,7,1,0.771,2,NoAdmixture
NA2,7,2,0.786,2,NoAdmixture
NA2,7,3,0.783,2,NoAdmixture
NA2,8,1,0.791,2,NoAdmixture
NA2,8,2,0.757,2,NoAdmixture
NA2,8,3,0.779,2,NoAdmixture
NA2,9,1,0.789,2,NoAdmixture
NA2,9,2,0.79,2,NoAdmixture
NA2,9,3,0.753,2,NoAdmixture
NA2,10,1,0.772,2,NoAdmixture
NA2,10,2,0.765,2,NoAdmixture
NA2,10,3,0.772,2,NoAdmixture
LA2,1,1,0.737,2,LocalAdmixture
LA2,1,2,0.724,2,LocalAdmixture
LA2,1,3,0.729,2,LocalAdmixture
LA2,2,1,0.724,2,LocalAdmixture
LA2,2,2,0.746,2,LocalAdmixture
LA2,2,3,0.736,2,LocalAdmixture
LA2,3,1,0.735,2,LocalAdmixture
LA2,3,2,0.721,2,LocalAdmixture
LA2,3,3,0.731,2,LocalAdmixture
LA2,4,1,0.736,2,LocalAdmixture
LA2,4,2,0.699,2,LocalAdmixture
LA2,4,3,0.675,2,LocalAdmixture
LA2,5,1,0.726,2,LocalAdmixture
LA2,5,2,0.731,2,LocalAdmixture
LA2,5,3,0.737,2,LocalAdmixture
LA2,6,1,0.746,2,LocalAdmixture
LA2,6,2,0.705,2,LocalAdmixture
LA2,6,3,0.748,2,LocalAdmixture
LA2,7,1,0.675,2,LocalAdmixture
LA2,7,2,0.766,2,LocalAdmixture
LA2,7,3,0.736,2,LocalAdmixture
LA2,8,1,0.791,2,LocalAdmixture
LA2,8,2,0.732,2,LocalAdmixture
LA2,8,3,0.787,2,LocalAdmixture
LA2,9,1,0.798,2,LocalAdmixture
LA2,9,2,0.796,2,LocalAdmixture
LA2,9,3,0.765,2,LocalAdmixture
LA2,10,1,0.74,2,LocalAdmixture
LA2,10,2,0.706,2,LocalAdmixture
LA2,10,3,0.794,2,LocalAdmixture
CE2,1,1,0.784,2,CoreEdge
CE2,1,2,0.783,2,CoreEdge
CE2,1,3,0.769,2,CoreEdge
CE2,2,1,0.781,2,CoreEdge
CE2,2,2,0.78,2,CoreEdge
CE2,2,3,0.769,2,CoreEdge
CE2,3,1,0.78,2,CoreEdge
CE2,3,2,0.778,2,CoreEdge
CE2,3,3,0.774,2,CoreEdge
CE2,4,1,0.71,2,CoreEdge
CE2,4,2,0.755,2,CoreEdge
CE2,4,3,0.728,2,CoreEdge
CE2,5,1,0.794,2,CoreEdge
CE2,5,2,0.794,2,CoreEdge
CE2,5,3,0.779,2,CoreEdge
CE2,6,1,0.775,2,CoreEdge
CE2,6,2,0.764,2,CoreEdge
CE2,6,3,0.77,2,CoreEdge
CE2,7,1,0.79,2,CoreEdge
CE2,7,2,0.797,2,CoreEdge
CE2,7,3,0.764,2,CoreEdge
CE2,8,1,0.776,2,CoreEdge
CE2,8,2,0.754,2,CoreEdge
CE2,8,3,0.811,2,CoreEdge
CE2,9,1,0.79,2,CoreEdge
CE2,9,2,0.76,2,CoreEdge
CE2,9,3,0.797,2,CoreEdge
CE2,10,1,0.756,2,CoreEdge
CE2,10,2,0.789,2,CoreEdge
CE2,10,3,0.745,2,CoreEdge
RE2,1,1,0.768,2,RefugiumEdge
RE2,1,2,0.796,2,RefugiumEdge
RE2,1,3,0.777,2,RefugiumEdge
RE2,2,1,0.757,2,RefugiumEdge
RE2,2,2,0.762,2,RefugiumEdge
RE2,2,3,0.668,2,RefugiumEdge
RE2,3,1,0.753,2,RefugiumEdge
RE2,3,2,0.801,2,RefugiumEdge
RE2,3,3,0.689,2,RefugiumEdge
RE2,4,1,0.778,2,RefugiumEdge
RE2,4,2,0.778,2,RefugiumEdge
RE2,4,3,0.792,2,RefugiumEdge
RE2,5,1,0.79,2,RefugiumEdge
RE2,5,2,0.788,2,RefugiumEdge
RE2,5,3,0.78,2,RefugiumEdge
RE2,6,1,0.725,2,RefugiumEdge
RE2,6,2,0.707,2,RefugiumEdge
RE2,6,3,0.706,2,RefugiumEdge
RE2,7,1,0.758,2,RefugiumEdge
RE2,7,2,0.769,2,RefugiumEdge
RE2,7,3,0.79,2,RefugiumEdge
RE2,8,1,0.762,2,RefugiumEdge
RE2,8,2,0.794,2,RefugiumEdge
RE2,8,3,0.755,2,RefugiumEdge
RE2,9,1,0.762,2,RefugiumEdge
RE2,9,2,0.789,2,RefugiumEdge
RE2,9,3,0.783,2,RefugiumEdge
RE2,10,1,0.783,2,RefugiumEdge
RE2,10,2,0.778,2,RefugiumEdge
RE2,10,3,0.759,2,RefugiumEdge
NA3,1,1,0.821,3,NoAdmixture
NA3,1,2,0.754,3,NoAdmixture
NA3,1,3,0.736,3,NoAdmixture
NA3,2,1,0.784,3,NoAdmixture
NA3,2,2,0.771,3,NoAdmixture
NA3,2,3,0.749,3,NoAdmixture
NA3,3,1,0.711,3,NoAdmixture
NA3,3,2,0.759,3,NoAdmixture
NA3,3,3,0.732,3,NoAdmixture
NA3,4,1,0.789,3,NoAdmixture
NA3,4,2,0.767,3,NoAdmixture
NA3,4,3,0.744,3,NoAdmixture
NA3,5,1,0.735,3,NoAdmixture
NA3,5,2,0.737,3,NoAdmixture
NA3,5,3,0.768,3,NoAdmixture
NA3,6,1,0.763,3,NoAdmixture
NA3,6,2,0.729,3,NoAdmixture
NA3,6,3,0.763,3,NoAdmixture
NA3,7,1,0.818,3,NoAdmixture
NA3,7,2,0.741,3,NoAdmixture
NA3,7,3,0.745,3,NoAdmixture
NA3,8,1,0.735,3,NoAdmixture
NA3,8,2,0.75,3,NoAdmixture
NA3,8,3,0.78,3,NoAdmixture
NA3,9,1,0.777,3,NoAdmixture
NA3,9,2,0.725,3,NoAdmixture
NA3,9,3,0.752,3,NoAdmixture
NA3,10,1,0.777,3,NoAdmixture
NA3,10,2,0.77,3,NoAdmixture
NA3,10,3,0.759,3,NoAdmixture
LA3,1,1,0.743,3,LocalAdmixture
LA3,1,2,0.751,3,LocalAdmixture
LA3,1,3,0.791,3,LocalAdmixture
LA3,2,1,0.785,3,LocalAdmixture
LA3,2,2,0.823,3,LocalAdmixture
LA3,2,3,0.829,3,LocalAdmixture
LA3,3,1,0.783,3,LocalAdmixture
LA3,3,2,0.801,3,LocalAdmixture
LA3,3,3,0.776,3,LocalAdmixture
LA3,4,1,0.798,3,LocalAdmixture
LA3,4,2,0.796,3,LocalAdmixture
LA3,4,3,0.786,3,LocalAdmixture
LA3,5,1,0.769,3,LocalAdmixture
LA3,5,2,0.778,3,LocalAdmixture
LA3,5,3,0.778,3,LocalAdmixture
LA3,6,1,0.758,3,LocalAdmixture
LA3,6,2,0.766,3,LocalAdmixture
LA3,6,3,0.753,3,LocalAdmixture
LA3,7,1,0.748,3,LocalAdmixture
LA3,7,2,0.739,3,LocalAdmixture
LA3,7,3,0.739,3,LocalAdmixture
LA3,8,1,0.765,3,LocalAdmixture
LA3,8,2,0.74,3,LocalAdmixture
LA3,8,3,0.776,3,LocalAdmixture
LA3,9,1,0.774,3,LocalAdmixture
LA3,9,2,0.769,3,LocalAdmixture
LA3,9,3,0.746,3,LocalAdmixture
LA3,10,1,0.764,3,LocalAdmixture
LA3,10,2,0.778,3,LocalAdmixture
LA3,10,3,0.735,3,LocalAdmixture
CE3,1,1,0.714,3,CoreEdge
CE3,1,2,0.755,3,CoreEdge
CE3,1,3,0.774,3,CoreEdge
CE3,2,1,0.755,3,CoreEdge
CE3,2,2,0.751,3,CoreEdge
CE3,2,3,0.754,3,CoreEdge
CE3,3,1,0.758,3,CoreEdge
CE3,3,2,0.787,3,CoreEdge
CE3,3,3,0.834,3,CoreEdge
CE3,4,1,0.794,3,CoreEdge
CE3,4,2,0.785,3,CoreEdge
CE3,4,3,0.775,3,CoreEdge
CE3,5,1,0.725,3,CoreEdge
CE3,5,2,0.692,3,CoreEdge
CE3,5,3,0.749,3,CoreEdge
CE3,6,1,0.759,3,CoreEdge
CE3,6,2,0.741,3,CoreEdge
CE3,6,3,0.738,3,CoreEdge
CE3,7,1,0.708,3,CoreEdge
CE3,7,2,0.69,3,CoreEdge
CE3,7,3,0.803,3,CoreEdge
CE3,8,1,0.778,3,CoreEdge
CE3,8,2,0.759,3,CoreEdge
CE3,8,3,0.715,3,CoreEdge
CE3,9,1,0.769,3,CoreEdge
CE3,9,2,0.73,3,CoreEdge
CE3,9,3,0.761,3,CoreEdge
CE3,10,1,0.777,3,CoreEdge
CE3,10,2,0.747,3,CoreEdge
CE3,10,3,0.786,3,CoreEdge
RE3,1,1,0.671,3,RefugiumEdge
RE3,1,2,0.61,3,RefugiumEdge
RE3,1,3,0.743,3,RefugiumEdge
RE3,2,1,0.76,3,RefugiumEdge
RE3,2,2,0.781,3,RefugiumEdge
RE3,2,3,0.754,3,RefugiumEdge
RE3,3,1,0.819,3,RefugiumEdge
RE3,3,2,0.814,3,RefugiumEdge
RE3,3,3,0.677,3,RefugiumEdge
RE3,4,1,0.799,3,RefugiumEdge
RE3,4,2,0.8,3,RefugiumEdge
RE3,4,3,0.8,3,RefugiumEdge
RE3,5,1,0.819,3,RefugiumEdge
RE3,5,2,0.781,3,RefugiumEdge
RE3,5,3,0.782,3,RefugiumEdge
RE3,6,1,0.767,3,RefugiumEdge
RE3,6,2,0.784,3,RefugiumEdge
RE3,6,3,0.758,3,RefugiumEdge
RE3,7,1,0.712,3,RefugiumEdge
RE3,7,2,0.724,3,RefugiumEdge
RE3,7,3,0.781,3,RefugiumEdge
RE3,8,1,0.794,3,RefugiumEdge
RE3,8,2,0.79,3,RefugiumEdge
RE3,8,3,0.767,3,RefugiumEdge
RE3,9,1,0.777,3,RefugiumEdge
RE3,9,2,0.783,3,RefugiumEdge
RE3,9,3,0.78,3,RefugiumEdge
RE3,10,1,0.696,3,RefugiumEdge
RE3,10,2,0.762,3,RefugiumEdge
RE3,10,3,0.764,3,RefugiumEdge
