Date (year-month-day),Plot,Plant,Height,Block,Treatment,Crowd
10/07/2025,NA2,81,365,2,NoAdmixture,300
10/07/2025,NA2,82,365,2,NoAdmixture,300
10/07/2025,NA2,83,491,2,NoAdmixture,300
10/07/2025,NA2,84,501,2,NoAdmixture,300
10/07/2025,NA2,85,480,2,NoAdmixture,300
10/07/2025,NA2,86,475,2,NoAdmixture,300
10/07/2025,NA2,87,459,2,NoAdmixture,300
10/07/2025,NA2,88,366,2,NoAdmixture,300
10/07/2025,NA2,89,361,2,NoAdmixture,300
10/07/2025,NA2,90,430,2,NoAdmixture,300
10/07/2025,NA2,91,385,2,NoAdmixture,300
10/07/2025,NA2,92,382,2,NoAdmixture,300
10/07/2025,NA2,93,421,2,NoAdmixture,300
10/07/2025,NA2,94,342,2,NoAdmixture,300
10/07/2025,NA2,95,326,2,NoAdmixture,300
10/07/2025,NA2,96,468,2,NoAdmixture,300
10/07/2025,NA2,97,399,2,NoAdmixture,300
10/07/2025,NA2,98,443,2,NoAdmixture,300
10/07/2025,NA2,99,578,2,NoAdmixture,300
10/07/2025,NA2,100,450,2,NoAdmixture,300
10/07/2025,NA2,101,498,2,NoAdmixture,300
10/07/2025,NA2,102,511,2,NoAdmixture,300
10/07/2025,NA2,103,381,2,NoAdmixture,300
10/07/2025,NA2,104,461,2,NoAdmixture,300
10/07/2025,NA2,105,361,2,NoAdmixture,300
10/07/2025,NA2,106,400,2,NoAdmixture,300
10/07/2025,NA2,107,349,2,NoAdmixture,300
10/07/2025,NA2,108,420,2,NoAdmixture,300
10/07/2025,LA2,109,650,2,LocalAdmixture,153
10/07/2025,LA2,110,597,2,LocalAdmixture,153
10/07/2025,LA2,111,600,2,LocalAdmixture,153
10/07/2025,LA2,112,635,2,LocalAdmixture,153
10/07/2025,LA2,113,472,2,LocalAdmixture,153
10/07/2025,LA2,114,698,2,LocalAdmixture,153
10/07/2025,LA2,115,583,2,LocalAdmixture,153
10/07/2025,LA2,116,566,2,LocalAdmixture,153
10/07/2025,LA2,117,421,2,LocalAdmixture,153
10/07/2025,LA2,118,654,2,LocalAdmixture,153
10/07/2025,LA2,119,693,2,LocalAdmixture,153
10/07/2025,LA2,120,661,2,LocalAdmixture,153
10/07/2025,LA2,121,571,2,LocalAdmixture,153
10/07/2025,LA2,122,541,2,LocalAdmixture,153
10/07/2025,LA2,123,583,2,LocalAdmixture,153
10/07/2025,LA2,124,541,2,LocalAdmixture,153
10/07/2025,LA2,125,694,2,LocalAdmixture,153
10/07/2025,LA2,126,541,2,LocalAdmixture,153
10/07/2025,LA2,127,338,2,LocalAdmixture,153
10/07/2025,LA2,128,686,2,LocalAdmixture,153
10/07/2025,LA2,129,450,2,LocalAdmixture,153
10/07/2025,LA2,130,638,2,LocalAdmixture,153
10/07/2025,LA2,131,511,2,LocalAdmixture,153
10/07/2025,LA2,132,506,2,LocalAdmixture,153
10/07/2025,LA2,133,595,2,LocalAdmixture,153
10/07/2025,LA2,134,512,2,LocalAdmixture,153
10/07/2025,LA2,135,364,2,LocalAdmixture,153
10/07/2025,LA2,136,516,2,LocalAdmixture,153
10/07/2025,LA2,137,759,2,LocalAdmixture,153
10/07/2025,LA2,138,630,2,LocalAdmixture,153
10/07/2025,CE2,139,511,2,CoreEdge,136
10/07/2025,CE2,140,605,2,CoreEdge,136
10/07/2025,CE2,141,581,2,CoreEdge,136
10/07/2025,CE2,142,742,2,CoreEdge,136
10/07/2025,CE2,143,595,2,CoreEdge,136
10/07/2025,CE2,144,598,2,CoreEdge,136
10/07/2025,CE2,145,695,2,CoreEdge,136
10/07/2025,CE2,146,570,2,CoreEdge,136
10/07/2025,CE2,147,668,2,CoreEdge,136
10/07/2025,CE2,148,576,2,CoreEdge,136
10/07/2025,CE2,149,646,2,CoreEdge,136
10/07/2025,CE2,150,730,2,CoreEdge,136
10/07/2025,CE2,151,565,2,CoreEdge,136
10/07/2025,CE2,152,551,2,CoreEdge,136
10/07/2025,CE2,153,498,2,CoreEdge,136
10/07/2025,CE2,154,649,2,CoreEdge,136
10/07/2025,CE2,155,594,2,CoreEdge,136
10/07/2025,CE2,156,576,2,CoreEdge,136
10/07/2025,CE2,157,550,2,CoreEdge,136
10/07/2025,CE2,158,649,2,CoreEdge,136
10/07/2025,CE2,159,581,2,CoreEdge,136
10/07/2025,CE2,160,674,2,CoreEdge,136
10/07/2025,CE2,161,641,2,CoreEdge,136
10/07/2025,CE2,162,384,2,CoreEdge,136
10/07/2025,CE2,163,665,2,CoreEdge,136
10/07/2025,CE2,164,528,2,CoreEdge,136
10/07/2025,CE2,165,619,2,CoreEdge,136
10/07/2025,CE2,166,587,2,CoreEdge,136
10/07/2025,CE2,167,639,2,CoreEdge,136
10/07/2025,CE2,168,582,2,CoreEdge,136
10/07/2025,RE2,169,584,2,RefugiumEdge,144
10/07/2025,RE2,170,536,2,RefugiumEdge,144
10/07/2025,RE2,171,596,2,RefugiumEdge,144
10/07/2025,RE2,172,598,2,RefugiumEdge,144
10/07/2025,RE2,173,615,2,RefugiumEdge,144
10/07/2025,RE2,174,552,2,RefugiumEdge,144
10/07/2025,RE2,175,365,2,RefugiumEdge,144
10/07/2025,RE2,176,741,2,RefugiumEdge,144
10/07/2025,RE2,177,652,2,RefugiumEdge,144
10/07/2025,RE2,178,679,2,RefugiumEdge,144
10/07/2025,RE2,179,634,2,RefugiumEdge,144
10/07/2025,RE2,180,510,2,RefugiumEdge,144
10/07/2025,RE2,181,381,2,RefugiumEdge,144
10/07/2025,RE2,182,656,2,RefugiumEdge,144
10/07/2025,RE2,183,599,2,RefugiumEdge,144
10/07/2025,RE2,184,650,2,RefugiumEdge,144
10/07/2025,RE2,185,368,2,RefugiumEdge,144
10/07/2025,RE2,186,570,2,RefugiumEdge,144
10/07/2025,RE2,187,433,2,RefugiumEdge,144
10/07/2025,RE2,188,598,2,RefugiumEdge,144
10/07/2025,RE2,189,568,2,RefugiumEdge,144
10/07/2025,RE2,190,388,2,RefugiumEdge,144
10/07/2025,RE2,191,682,2,RefugiumEdge,144
10/07/2025,RE2,192,338,2,RefugiumEdge,144
10/07/2025,RE2,193,572,2,RefugiumEdge,144
10/07/2025,RE2,194,611,2,RefugiumEdge,144
10/07/2025,RE2,195,535,2,RefugiumEdge,144
10/07/2025,RE2,196,326,2,RefugiumEdge,144
10/07/2025,NA3,199,501,3,NoAdmixture,470
10/07/2025,NA3,200,422,3,NoAdmixture,470
10/07/2025,NA3,201,439,3,NoAdmixture,470
10/07/2025,NA3,202,326,3,NoAdmixture,470
10/07/2025,NA3,203,349,3,NoAdmixture,470
10/07/2025,NA3,204,316,3,NoAdmixture,470
10/07/2025,NA3,205,460,3,NoAdmixture,470
10/07/2025,NA3,206,354,3,NoAdmixture,470
10/07/2025,NA3,207,351,3,NoAdmixture,470
10/07/2025,NA3,208,368,3,NoAdmixture,470
10/07/2025,NA3,209,575,3,NoAdmixture,470
10/07/2025,NA3,210,581,3,NoAdmixture,470
10/07/2025,NA3,211,486,3,NoAdmixture,470
10/07/2025,NA3,212,305,3,NoAdmixture,470
10/07/2025,NA3,213,345,3,NoAdmixture,470
10/07/2025,NA3,214,382,3,NoAdmixture,470
10/07/2025,NA3,215,419,3,NoAdmixture,470
10/07/2025,NA3,216,350,3,NoAdmixture,470
10/07/2025,NA3,217,364,3,NoAdmixture,470
10/07/2025,NA3,218,381,3,NoAdmixture,470
10/07/2025,NA3,219,552,3,NoAdmixture,470
10/07/2025,NA3,220,342,3,NoAdmixture,470
10/07/2025,NA3,221,351,3,NoAdmixture,470
10/07/2025,NA3,222,539,3,NoAdmixture,470
10/07/2025,NA3,223,346,3,NoAdmixture,470
10/07/2025,NA3,224,511,3,NoAdmixture,470
10/07/2025,NA3,225,509,3,NoAdmixture,470
10/07/2025,NA3,226,549,3,NoAdmixture,470
10/07/2025,NA3,227,374,3,NoAdmixture,470
10/07/2025,NA3,228,429,3,NoAdmixture,470
10/07/2025,LA3,229,459,3,LocalAdmixture,443
10/07/2025,LA3,230,340,3,LocalAdmixture,443
10/07/2025,LA3,231,351,3,LocalAdmixture,443
10/07/2025,LA3,232,388,3,LocalAdmixture,443
10/07/2025,LA3,233,410,3,LocalAdmixture,443
10/07/2025,LA3,234,496,3,LocalAdmixture,443
10/07/2025,LA3,235,379,3,LocalAdmixture,443
10/07/2025,LA3,236,600,3,LocalAdmixture,443
10/07/2025,LA3,237,611,3,LocalAdmixture,443
10/07/2025,LA3,238,559,3,LocalAdmixture,443
10/07/2025,LA3,239,534,3,LocalAdmixture,443
10/07/2025,LA3,240,554,3,LocalAdmixture,443
10/07/2025,LA3,241,568,3,LocalAdmixture,443
10/07/2025,LA3,242,566,3,LocalAdmixture,443
10/07/2025,LA3,243,357,3,LocalAdmixture,443
10/07/2025,LA3,244,469,3,LocalAdmixture,443
10/07/2025,LA3,245,362,3,LocalAdmixture,443
10/07/2025,LA3,246,534,3,LocalAdmixture,443
10/07/2025,LA3,247,529,3,LocalAdmixture,443
10/07/2025,LA3,248,481,3,LocalAdmixture,443
10/07/2025,LA3,249,352,3,LocalAdmixture,443
10/07/2025,LA3,250,363,3,LocalAdmixture,443
10/07/2025,LA3,251,525,3,LocalAdmixture,443
10/07/2025,LA3,252,551,3,LocalAdmixture,443
10/07/2025,LA3,253,428,3,LocalAdmixture,443
10/07/2025,LA3,254,564,3,LocalAdmixture,443
10/07/2025,LA3,255,466,3,LocalAdmixture,443
10/07/2025,LA3,256,380,3,LocalAdmixture,443
10/07/2025,LA3,257,315,3,LocalAdmixture,443
10/07/2025,LA3,258,476,3,LocalAdmixture,443
10/07/2025,CE3,259,426,3,CoreEdge,434
10/07/2025,CE3,260,221,3,CoreEdge,434
10/07/2025,CE3,261,515,3,CoreEdge,434
10/07/2025,CE3,262,500,3,CoreEdge,434
10/07/2025,CE3,263,294,3,CoreEdge,434
10/07/2025,CE3,264,541,3,CoreEdge,434
10/07/2025,CE3,265,490,3,CoreEdge,434
10/07/2025,CE3,266,580,3,CoreEdge,434
10/07/2025,CE3,267,626,3,CoreEdge,434
10/07/2025,CE3,268,561,3,CoreEdge,434
10/07/2025,CE3,269,531,3,CoreEdge,434
10/07/2025,CE3,270,554,3,CoreEdge,434
10/07/2025,CE3,271,661,3,CoreEdge,434
10/07/2025,CE3,272,640,3,CoreEdge,434
10/07/2025,CE3,273,572,3,CoreEdge,434
10/07/2025,CE3,274,474,3,CoreEdge,434
10/07/2025,CE3,275,413,3,CoreEdge,434
10/07/2025,CE3,276,611,3,CoreEdge,434
10/07/2025,CE3,277,341,3,CoreEdge,434
10/07/2025,CE3,278,636,3,CoreEdge,434
10/07/2025,CE3,279,356,3,CoreEdge,434
10/07/2025,CE3,280,211,3,CoreEdge,434
10/07/2025,CE3,281,594,3,CoreEdge,434
10/07/2025,CE3,282,572,3,CoreEdge,434
10/07/2025,CE3,283,536,3,CoreEdge,434
10/07/2025,CE3,284,722,3,CoreEdge,434
10/07/2025,CE3,285,591,3,CoreEdge,434
10/07/2025,CE3,286,556,3,CoreEdge,434
10/07/2025,CE3,287,563,3,CoreEdge,434
10/07/2025,CE3,288,514,3,CoreEdge,434
10/07/2025,RE3,289,505,3,RefugiumEdge,135
10/07/2025,RE3,290,311,3,RefugiumEdge,135
10/07/2025,RE3,291,566,3,RefugiumEdge,135
10/07/2025,RE3,292,521,3,RefugiumEdge,135
10/07/2025,RE3,293,334,3,RefugiumEdge,135
10/07/2025,RE3,294,556,3,RefugiumEdge,135
10/07/2025,RE3,295,395,3,RefugiumEdge,135
10/07/2025,RE3,296,503,3,RefugiumEdge,135
10/07/2025,RE3,297,361,3,RefugiumEdge,135
10/07/2025,RE3,298,401,3,RefugiumEdge,135
10/07/2025,RE3,299,345,3,RefugiumEdge,135
10/07/2025,RE3,300,632,3,RefugiumEdge,135
10/07/2025,RE3,301,578,3,RefugiumEdge,135
10/07/2025,RE3,302,465,3,RefugiumEdge,135
10/07/2025,RE3,303,552,3,RefugiumEdge,135
10/07/2025,RE3,304,581,3,RefugiumEdge,135
10/07/2025,RE3,305,366,3,RefugiumEdge,135
10/07/2025,RE3,306,386,3,RefugiumEdge,135
10/07/2025,RE3,307,545,3,RefugiumEdge,135
10/07/2025,RE3,308,381,3,RefugiumEdge,135
10/07/2025,RE3,309,512,3,RefugiumEdge,135
10/07/2025,RE3,310,507,3,RefugiumEdge,135
10/07/2025,RE3,311,476,3,RefugiumEdge,135
10/07/2025,RE3,312,341,3,RefugiumEdge,135
10/07/2025,RE3,313,575,3,RefugiumEdge,135
10/07/2025,RE3,314,506,3,RefugiumEdge,135
10/07/2025,RE3,315,478,3,RefugiumEdge,135
10/07/2025,RE3,316,313,3,RefugiumEdge,135
10/07/2025,RE3,317,468,3,RefugiumEdge,135
10/07/2025,RE3,318,399,3,RefugiumEdge,135
